Nolana philippiana
Nolana platyphylla
Nolana plicata
Nolana pterocarpa
Nolana ramosissima
Nolana reichei
Nolana revoluta
Nolana rostrata
Nolana rupicola
Nolana salsoloides
Nolana scaposa
Nolana sedifolia
Nolana sessiliflora
Nolana spathulata
Nolana sphaerophylla
Nolana stenophylla
Nolana tarapacana
Nolana thinophila
Nolana tocopillensis
Nolana villosa
Nolana werdermannii
Normania nava
Nycterium amazonium
Pantacantha ameghinoi
Petunia altiplana
Petunia axillaris
Petunia bajeensis
Petunia bonjardinensis
Petunia exserta
Petunia guarapuavensis
Petunia	×	hybrida
Petunia inflata
Petunia integrifolia
Petunia interior
Petunia littoralis
Petunia occidentalis
Petunia patagonica
Petunia reitzii
Petunia riograndensis
Petunia saxicola
Petunia scheideana
Phrodus microphyllus
Physaliastrum chamaesarachoides
Physaliastrum echinatum
Physaliastrum heterophyllum
Physaliastrum japonicum
Physaliastrum kweichouense
Physaliastrum sinense
Physaliastrum sinicum
Physaliastrum yunnanense
Physaliastrum yunnanense
Physalis acutifolia
Physalis aggregata
Physalis alkekengi
Physalis alkekengi
Physalis alkekengi
Physalis amphitricha
Physalis ampla
Physalis angulata
Physalis angulata
Physalis angulata
Physalis angustior
Physalis angustiphysa
Physalis arborescens
Physalis campanula
Physalis campechiana
Physalis carnosa
Physalis caudella
Physalis cinerascens
Physalis cordata
Physalis coztomatl
Physalis crassifolia
Physalis crassifolia
Physalis crassifolia
Physalis crassifolia
Physalis fendleri
Physalis geniculata
Physalis glabra
Physalis glutinosa
Physalis glutinosa
Physalis gracilis
Physalis greenmanii
Physalis grisea
Physalis hastatula
Physalis hederifolia
Physalis hederifolia
Physalis hederifolia
Physalis heterophylla
Physalis heterophylla
Physalis hintonii
Physalis hirsuta
Physalis hispida
Physalis ignota
Physalis ingrata
Physalis lagascae
Physalis lassa
Physalis latiphysa
Physalis lignescens
Physalis lobata
Physalis longiloba
Physalis longipedicellata
Physalis mcvaughii
Physalis melanocystis
Physalis microcarpa
Physalis microphysa
Physalis minimaculata
Physalis minuta
Physalis mollis
Physalis mollis
Physalis muelleri
Physalis neomexicana
Physalis nicandroides
Physalis orizabae
Physalis patula
Physalis pennellii
Physalis peruviana
Physalis philadelphica
Physalis philippensis
Physalis pringlei
Physalis pruinosa
Physalis pubescens
Physalis pubescens
Physalis pubescens
Physalis pubescens
Physalis queretaroensis
Physalis sancti-josephii
Physalis solanacea
Physalis sordida
Physalis stapelioides
Physalis subrepens
Physalis sulphurea
Physalis tamayoi
Physalis tehuacanensis
Physalis virginiana
Physalis virginiana
Physalis virginiana
Physalis virginiana
Physalis viscosa
Physalis viscosa
Physalis viscosa
Physalis viscosa
Physalis viscosa
Physalis volubilis
Physalis waterfallii
Physochlaina capitata
Physochlaina infundibularis
Physochlaina macrocalyx
Physochlaina macrophylla
Physochlaina physaloides
Physochlaina praealta
Pionandra cylindrica
Pionandra elliptica
Pionandra fraxinella
Pionandra narensis
Pionandra velutina
Plowmania nyctaginoides
Protoschwenkia mandonii
Przewalskia tangutica
Quincula lobata
Rahowardiana wardiana
Reyesia cactorum
Reyesia chilensis
Reyesia juniperoides
Reyesia parviflora
Salpichroa ciliata
Salpichroa dependens
Salpichroa didierana
Salpichroa gayi
Salpichroa glandulosa
Salpichroa hirsuta
Salpichroa micrantha
Salpichroa microloba
Salpichroa microphylla
Salpichroa origanifolia
Salpichroa proboscidea
Salpichroa ramosissima
Salpichroa scandens
Salpichroa tristis
Salpichroa weberbauerii
Salpichroma hirsutum
Salpiglossis sinuata
Salpiglossis spinescens
Saracha auriculata
Saracha contorta
Saracha guttata
Saracha peruviana
Saracha potosina
Saracha pubescens
Saracha punctata
Saracha quitoensis
Saracha spinosa
Saracha villosa
Schizanthus alpestris
Schizanthus candidus
Schizanthus grahamii
Schizanthus hookeri
Schizanthus integrifolius
Schizanthus lacteus
Schizanthus laetus
Schizanthus litoralis
Schizanthus parvulus
Schizanthus pinnatus
Schizanthus porrigens
Schizanthus tricolor
Schultesianthus coriaceus
Schultesianthus crosbyanus
Schultesianthus dudleyi
Schultesianthus leucanthus
Schultesianthus megalandrus
Schultesianthus uniflorus
Schultesianthus venosus
Schwenckia curviflora
Schwenckia elegans
Schwenckia glabrata
Schwenckia grandiflora
Schwenckia heterantha
